"","Island","Species","Year","COUNT","CUM_FREQ","No_specimen_year"
"3346","South","Ammophila arenaria",1985,1,15,153
"1722","South","Angelica pachycarpa",1968,1,1,139
"1802","South","Angelica pachycarpa",1969,1,2,136
"2698","South","Angelica pachycarpa",1977,1,3,299
"2964","South","Angelica pachycarpa",1980,2,5,150
"3082","South","Angelica pachycarpa",1981,2,7,158
"3667","South","Angelica pachycarpa",1988,1,8,128
"706","South","Anredera cordifolia",1953,1,1,129
"3904","South","Anredera cordifolia",1992,1,2,118
"4201","South","Anredera cordifolia",1996,1,3,78
"4384","South","Anredera cordifolia",1999,1,4,78
"4463","South","Anredera cordifolia",2000,1,5,72
"1319","South","Araujia sericifera",1963,1,1,200
"3155","South","Araujia sericifera",1982,1,2,130
"3532","South","Araujia sericifera",1987,1,3,171
"4429","South","Araujia sericifera",2000,1,4,72
"4516","South","Araujia sericifera",2001,1,5,47
"4653","South","Araujia sericifera",2005,1,6,35
"138","South","Arctium minus",1930,1,1,11
"236","South","Arctium minus",1939,1,2,29
"359","South","Arctium minus",1944,1,3,34
"378","South","Arctium minus",1945,2,5,59
"575","South","Arctium minus",1951,1,6,58
"747","South","Arctium minus",1954,1,7,83
"905","South","Arctium minus",1957,1,8,88
"976","South","Arctium minus",1958,3,11,191
"1021","South","Arctium minus",1959,2,13,157
"1117","South","Arctium minus",1960,1,14,43
"1179","South","Arctium minus",1961,2,16,134
"1188","South","Arctium minus",1962,2,18,124
"1390","South","Arctium minus",1964,1,19,104
"1511","South","Arctium minus",1966,2,21,101
"2418","South","Arctium minus",1975,1,22,253
"2525","South","Arctium minus",1976,1,23,158
"2716","South","Arctium minus",1977,3,26,299
"2761","South","Arctium minus",1978,2,28,125
"2856","South","Arctium minus",1979,4,32,156
"3002","South","Arctium minus",1980,2,34,150
"3148","South","Arctium minus",1982,1,35,130
"3344","South","Arctium minus",1984,2,37,131
"3404","South","Arctium minus",1985,1,38,153
"3509","South","Arctium minus",1986,1,39,114
"3554","South","Arctium minus",1987,2,41,171
"3651","South","Arctium minus",1988,1,42,128
"3727","South","Arctium minus",1989,1,43,92
"3862","South","Arctium minus",1991,1,44,114
"3968","South","Arctium minus",1993,2,46,143
"4397","South","Arctium minus",1999,1,47,78
"4480","South","Arctium minus",2000,1,48,72
"4511","South","Arctium minus",2001,2,50,47
"4550","South","Arctium minus",2002,1,51,37
"834","South","Arctotheca calendula",1956,1,1,94
"893","South","Arctotheca calendula",1957,1,2,88
"1111","South","Arctotheca calendula",1960,1,3,43
"1375","South","Arctotheca calendula",1964,1,4,104
"1438","South","Arctotheca calendula",1965,1,5,92
"1848","South","Arctotheca calendula",1970,1,6,283
"2064","South","Arctotheca calendula",1972,1,7,218
"2187","South","Arctotheca calendula",1973,1,8,261
"3718","South","Arctotheca calendula",1989,1,9,92
"3764","South","Arctotheca calendula",1990,1,10,80
"3907","South","Arctotheca calendula",1992,1,11,118
"3979","South","Arctotheca calendula",1993,2,13,143
"4060","South","Arctotheca calendula",1994,1,14,158
"4238","South","Arctotheca calendula",1996,1,15,78
"4408","South","Arctotheca calendula",1999,1,16,78
"4445","South","Arctotheca calendula",2000,2,18,72
"4491","South","Arctotheca calendula",2001,1,19,47
"4533","South","Arctotheca calendula",2002,1,20,37
"782","South","Arum italicum",1955,1,1,64
"1011","South","Arum italicum",1959,1,2,157
"1248","South","Arum italicum",1962,1,3,124
"2702","South","Arum italicum",1977,1,4,299
"2762","South","Arum italicum",1978,1,5,125
"4187","South","Arum italicum",1995,1,6,48
"1073","South","Arundo donax",1959,1,1,157
"3347","South","Arundo donax",1985,1,2,153
"4033","South","Arundo donax",1993,1,3,143
"4243","South","Arundo donax",1996,1,4,78
"1010","South","Asparagus asparagoides",1959,3,3,157
"1479","South","Asparagus asparagoides",1965,1,4,92
"2027","South","Asparagus asparagoides",1971,1,5,182
"2333","South","Asparagus asparagoides",1974,1,6,142
"2736","South","Asparagus asparagoides",1977,1,7,299
"3087","South","Asparagus asparagoides",1981,2,9,158
"3406","South","Asparagus asparagoides",1985,1,10,153
"4244","South","Asparagus asparagoides",1996,1,11,78
"4465","South","Asparagus asparagoides",2000,1,12,72
"4534","South","Asparagus asparagoides",2002,1,13,37
"4572","South","Asparagus asparagoides",2003,1,14,56
"3358","South","Asparagus scandens",1985,1,1,153
"4191","South","Asparagus scandens",1996,1,2,78
"4358","South","Asparagus scandens",1998,1,3,68
"4603","South","Asparagus scandens",2004,1,4,39
"4628","South","Banksia integrifolia",2004,1,1,39
"398","South","Berberis darwinii",1945,1,1,59
"594","South","Berberis darwinii",1951,1,2,58
"607","South","Berberis darwinii",1952,1,3,63
"753","South","Berberis darwinii",1954,1,4,83
"788","South","Berberis darwinii",1955,1,5,64
"1192","South","Berberis darwinii",1962,1,6,124
"1518","South","Berberis darwinii",1966,1,7,101
"1909","South","Berberis darwinii",1970,2,9,283
"2032","South","Berberis darwinii",1972,1,10,218
"2320","South","Berberis darwinii",1974,1,11,142
"2750","South","Berberis darwinii",1978,1,12,125
"3093","South","Berberis darwinii",1981,2,14,158
"3420","South","Berberis darwinii",1985,1,15,153
"3537","South","Berberis darwinii",1987,1,16,171
"3789","South","Berberis darwinii",1990,1,17,80
"4134","South","Berberis darwinii",1994,1,18,158
"4349","South","Berberis darwinii",1998,1,19,68
"4585","South","Berberis darwinii",2003,8,27,56
"403","South","Berberis glaucocarpa",1945,1,1,59
"1004","South","Berberis glaucocarpa",1958,1,2,191
"1118","South","Berberis glaucocarpa",1961,1,3,134
"1266","South","Berberis glaucocarpa",1963,1,4,200
"1423","South","Berberis glaucocarpa",1965,1,5,92
"1837","South","Berberis glaucocarpa",1970,2,7,283
"2030","South","Berberis glaucocarpa",1971,1,8,182
"2167","South","Berberis glaucocarpa",1973,1,9,261
"2549","South","Berberis glaucocarpa",1976,1,10,158
"2721","South","Berberis glaucocarpa",1977,1,11,299
"2984","South","Berberis glaucocarpa",1980,1,12,150
"3102","South","Berberis glaucocarpa",1981,1,13,158
"3324","South","Berberis glaucocarpa",1984,1,14,131
"3377","South","Berberis glaucocarpa",1985,1,15,153
"3484","South","Berberis glaucocarpa",1986,5,20,114
"3682","South","Berberis glaucocarpa",1988,2,22,128
"3861","South","Berberis glaucocarpa",1991,1,23,114
"4591","South","Berberis glaucocarpa",2003,9,32,56
"4601","South","Berberis glaucocarpa",2004,1,33,39
"4664","South","Berberis glaucocarpa",2006,1,34,20
"894","South","Bidens frondosa",1957,1,1,88
"1186","South","Bidens frondosa",1962,2,3,124
"1271","South","Bidens frondosa",1963,1,4,200
"1519","South","Bidens frondosa",1966,1,5,101
"1648","South","Bidens frondosa",1968,1,6,139
"1726","South","Bidens frondosa",1969,2,8,136
"2038","South","Bidens frondosa",1972,1,9,218
"4263","South","Bidens frondosa",1997,1,10,69
"4469","South","Bidens frondosa",2000,1,11,72
"4597","South","Bidens frondosa",2004,1,12,39
"173","South","Bromus tectorum",1935,1,1,7
"182","South","Bromus tectorum",1936,3,4,15
"271","South","Bromus tectorum",1941,1,5,43
"301","South","Bromus tectorum",1942,1,6,25
"320","South","Bromus tectorum",1943,2,8,25
"507","South","Bromus tectorum",1949,2,10,59
"633","South","Bromus tectorum",1952,1,11,63
"752","South","Bromus tectorum",1954,4,15,83
"771","South","Bromus tectorum",1955,1,16,64
"880","South","Bromus tectorum",1957,2,18,88
"945","South","Bromus tectorum",1958,1,19,191
"1182","South","Bromus tectorum",1961,2,21,134
"1243","South","Bromus tectorum",1962,2,23,124
"1346","South","Bromus tectorum",1963,1,24,200
"1368","South","Bromus tectorum",1964,1,25,104
"1475","South","Bromus tectorum",1965,1,26,92
"1527","South","Bromus tectorum",1966,2,28,101
"1675","South","Bromus tectorum",1968,2,30,139
"1775","South","Bromus tectorum",1969,2,32,136
"1875","South","Bromus tectorum",1970,3,35,283
"1988","South","Bromus tectorum",1971,1,36,182
"2125","South","Bromus tectorum",1972,1,37,218
"2182","South","Bromus tectorum",1973,2,39,261
"2535","South","Bromus tectorum",1976,2,41,158
"2725","South","Bromus tectorum",1977,1,42,299
"3054","South","Bromus tectorum",1981,1,43,158
"3216","South","Bromus tectorum",1983,1,44,76
"3286","South","Bromus tectorum",1984,1,45,131
"3396","South","Bromus tectorum",1985,1,46,153
"3966","South","Bromus tectorum",1993,1,47,143
"4079","South","Bromus tectorum",1994,2,49,158
"4164","South","Bromus tectorum",1995,1,50,48
"4213","South","Bromus tectorum",1996,1,51,78
"4370","South","Bromus tectorum",1999,1,52,78
"4468","South","Bromus tectorum",2000,1,53,72
"4497","South","Bromus tectorum",2001,1,54,47
"660","South","Buddleja davidii",1953,4,4,129
"1007","South","Buddleja davidii",1959,2,6,157
"1135","South","Buddleja davidii",1961,1,7,134
"1427","South","Buddleja davidii",1965,1,8,92
"1784","South","Buddleja davidii",1969,1,9,136
"1879","South","Buddleja davidii",1970,1,10,283
"1994","South","Buddleja davidii",1971,2,12,182
"2179","South","Buddleja davidii",1973,2,14,261
"2449","South","Buddleja davidii",1975,2,16,253
"2611","South","Buddleja davidii",1977,1,17,299
"3193","South","Buddleja davidii",1982,5,22,130
"3214","South","Buddleja davidii",1983,1,23,76
"3320","South","Buddleja davidii",1984,1,24,131
"3539","South","Buddleja davidii",1987,1,25,171
"4025","South","Buddleja davidii",1993,1,26,143
"4085","South","Buddleja davidii",1994,1,27,158
"4287","South","Buddleja davidii",1997,2,29,69
"4321","South","Buddleja davidii",1998,1,30,68
"4410","South","Buddleja davidii",1999,2,32,78
"4500","South","Buddleja davidii",2001,1,33,47
"617","South","Calluna vulgaris",1952,1,1,63
"884","South","Calluna vulgaris",1957,1,2,88
"1177","South","Calluna vulgaris",1961,1,3,134
"2695","South","Calluna vulgaris",1977,1,4,299
"3168","South","Calluna vulgaris",1982,2,6,130
"3681","South","Calluna vulgaris",1988,1,7,128
"4558","South","Calluna vulgaris",2002,1,8,37
"889","South","Calystegia silvatica",1957,1,1,88
"1895","South","Calystegia silvatica",1970,2,3,283
"3383","South","Calystegia silvatica",1985,1,4,153
"3555","South","Calystegia silvatica",1987,1,5,171
"4066","South","Calystegia silvatica",1994,1,6,158
"239","South","Carduus nutans",1939,1,1,29
"276","South","Carduus nutans",1941,1,2,43
"313","South","Carduus nutans",1942,1,3,25
"390","South","Carduus nutans",1945,1,4,59
"415","South","Carduus nutans",1946,3,7,24
"447","South","Carduus nutans",1947,1,8,43
"480","South","Carduus nutans",1949,1,9,59
"770","South","Carduus nutans",1955,1,10,64
"937","South","Carduus nutans",1958,1,11,191
"1099","South","Carduus nutans",1960,2,13,43
"1176","South","Carduus nutans",1961,1,14,134
"1370","South","Carduus nutans",1964,1,15,104
"1476","South","Carduus nutans",1965,1,16,92
"1551","South","Carduus nutans",1966,2,18,101
"1801","South","Carduus nutans",1969,1,19,136
"1884","South","Carduus nutans",1970,6,25,283
"1946","South","Carduus nutans",1971,2,27,182
"2137","South","Carduus nutans",1972,2,29,218
"2282","South","Carduus nutans",1974,3,32,142
"2551","South","Carduus nutans",1976,1,33,158
"2825","South","Carduus nutans",1978,3,36,125
"2887","South","Carduus nutans",1979,3,39,156
"2986","South","Carduus nutans",1980,1,40,150
"3104","South","Carduus nutans",1981,2,42,158
"3296","South","Carduus nutans",1984,1,43,131
"3446","South","Carduus nutans",1986,3,46,114
"3828","South","Carduus nutans",1991,2,48,114
"4162","South","Carduus nutans",1995,1,49,48
"4241","South","Carduus nutans",1996,1,50,78
"4319","South","Carduus nutans",1998,1,51,68
"4399","South","Carduus nutans",1999,2,53,78
"4482","South","Carduus nutans",2000,1,54,72
"4632","South","Carduus nutans",2005,1,55,35
"3233","South","Carex flacca",1983,1,1,76
"3650","South","Carex flacca",1988,1,2,128
"3873","South","Carex flacca",1991,1,3,114
"4115","South","Carex flacca",1994,1,4,158
"4182","South","Carex flacca",1995,1,5,48
"4251","South","Carex flacca",1996,1,6,78
"4297","South","Carex flacca",1997,1,7,69
"4451","South","Carex flacca",2000,1,8,72
"4541","South","Carex flacca",2002,1,9,37
"1410","South","Carex ovalis",1964,1,1,104
"3097","South","Carex ovalis",1981,1,2,158
"3229","South","Carex ovalis",1983,2,4,76
"3277","South","Carex ovalis",1984,1,5,131
"3424","South","Carex ovalis",1985,2,7,153
"3543","South","Carex ovalis",1987,1,8,171
"3897","South","Carex ovalis",1992,1,9,118
"4069","South","Carex ovalis",1994,1,10,158
"4145","South","Carex ovalis",1995,1,11,48
"4317","South","Carex ovalis",1998,2,13,68
"4365","South","Carex ovalis",1999,1,14,78
"4494","South","Carex ovalis",2001,1,15,47
"4680","South","Carex ovalis",2007,1,16,15
"722","South","Carpobrotus edulis",1954,1,1,83
"933","South","Carpobrotus edulis",1958,1,2,191
"1446","South","Carpobrotus edulis",1965,1,3,92
"1586","South","Carpobrotus edulis",1967,1,4,85
"1774","South","Carpobrotus edulis",1969,1,5,136
"1943","South","Carpobrotus edulis",1971,1,6,182
"2711","South","Carpobrotus edulis",1977,2,8,299
"2814","South","Carpobrotus edulis",1978,1,9,125
"3203","South","Carpobrotus edulis",1982,1,10,130
"3514","South","Carpobrotus edulis",1986,1,11,114
"3826","South","Carpobrotus edulis",1991,1,12,114
"1588","South","Celastrus orbiculatus",1967,1,1,85
"3453","South","Celastrus orbiculatus",1986,1,2,114
"4022","South","Celastrus orbiculatus",1993,1,3,143
"411","South","Chamaecytisus palmensis",1946,1,1,24
"768","South","Chamaecytisus palmensis",1954,2,3,83
"793","South","Chamaecytisus palmensis",1955,1,4,64
"873","South","Chamaecytisus palmensis",1957,1,5,88
"942","South","Chamaecytisus palmensis",1958,1,6,191
"1048","South","Chamaecytisus palmensis",1959,1,7,157
"1278","South","Chamaecytisus palmensis",1963,2,9,200
"2023","South","Chamaecytisus palmensis",1971,1,10,182
"2445","South","Chamaecytisus palmensis",1975,1,11,253
"2661","South","Chamaecytisus palmensis",1977,3,14,299
"2869","South","Chamaecytisus palmensis",1979,2,16,156
"3003","South","Chamaecytisus palmensis",1980,1,17,150
"3036","South","Chamaecytisus palmensis",1981,1,18,158
"4228","South","Chamaecytisus palmensis",1996,1,19,78
"4409","South","Chamaecytisus palmensis",1999,1,20,78
"4433","South","Chamaecytisus palmensis",2000,1,21,72
"871","South","Chrysanthemoides monilifera",1957,1,1,88
"1023","South","Chrysanthemoides monilifera",1959,1,2,157
"1283","South","Chrysanthemoides monilifera",1963,1,3,200
"2315","South","Chrysanthemoides monilifera",1974,1,4,142
"2811","South","Chrysanthemoides monilifera",1978,1,5,125
"3034","South","Chrysanthemoides monilifera",1981,1,6,158
"3206","South","Chrysanthemoides monilifera",1983,1,7,76
"3386","South","Chrysanthemoides monilifera",1985,1,8,153
"3458","South","Chrysanthemoides monilifera",1986,1,9,114
"4306","South","Chrysanthemoides monilifera",1998,1,10,68
"4380","South","Chrysanthemoides monilifera",1999,1,11,78
"9","South","Cirsium arvense",1880,1,1,1
"539","South","Cirsium arvense",1950,1,2,81
"760","South","Cirsium arvense",1954,1,3,83
"1064","South","Cirsium arvense",1959,1,4,157
"1195","South","Cirsium arvense",1962,1,5,124
"1366","South","Cirsium arvense",1964,1,6,104
"1556","South","Cirsium arvense",1966,1,7,101
"1715","South","Cirsium arvense",1968,3,10,139
"1892","South","Cirsium arvense",1970,5,15,283
"2006","South","Cirsium arvense",1971,2,17,182
"2144","South","Cirsium arvense",1972,2,19,218
"2339","South","Cirsium arvense",1974,1,20,142
"2427","South","Cirsium arvense",1975,1,21,253
"2580","South","Cirsium arvense",1976,2,23,158
"2676","South","Cirsium arvense",1977,4,27,299
"2823","South","Cirsium arvense",1978,2,29,125
"2909","South","Cirsium arvense",1979,3,32,156
"2980","South","Cirsium arvense",1980,1,33,150
"3098","South","Cirsium arvense",1981,1,34,158
"3156","South","Cirsium arvense",1982,2,36,130
"3327","South","Cirsium arvense",1984,1,37,131
"3411","South","Cirsium arvense",1985,2,39,153
"3450","South","Cirsium arvense",1986,1,40,114
"3586","South","Cirsium arvense",1987,1,41,171
"3747","South","Cirsium arvense",1989,1,42,92
"438","South","Cirsium palustre",1947,1,1,43
"985","South","Cirsium palustre",1958,1,2,191
"1681","South","Cirsium palustre",1968,2,4,139
"1794","South","Cirsium palustre",1969,2,6,136
"1981","South","Cirsium palustre",1971,1,7,182
"2110","South","Cirsium palustre",1972,1,8,218
"2210","South","Cirsium palustre",1973,1,9,261
"2271","South","Cirsium palustre",1974,1,10,142
"2413","South","Cirsium palustre",1975,1,11,253
"2508","South","Cirsium palustre",1976,1,12,158
"2680","South","Cirsium palustre",1977,2,14,299
"2777","South","Cirsium palustre",1978,3,17,125
"3126","South","Cirsium palustre",1982,3,20,130
"3244","South","Cirsium palustre",1983,2,22,76
"3438","South","Cirsium palustre",1985,2,24,153
"3506","South","Cirsium palustre",1986,2,26,114
"3688","South","Cirsium palustre",1988,1,27,128
"6","South","Cirsium vulgare",1873,1,1,1
"19","South","Cirsium vulgare",1900,1,2,6
"533","South","Cirsium vulgare",1950,1,3,81
"614","South","Cirsium vulgare",1952,3,6,63
"1012","South","Cirsium vulgare",1959,1,7,157
"1185","South","Cirsium vulgare",1962,4,11,124
"1282","South","Cirsium vulgare",1963,2,13,200
"1386","South","Cirsium vulgare",1964,2,15,104
"1454","South","Cirsium vulgare",1965,1,16,92
"1780","South","Cirsium vulgare",1969,3,19,136
"1864","South","Cirsium vulgare",1970,6,25,283
"1962","South","Cirsium vulgare",1971,1,26,182
"2051","South","Cirsium vulgare",1972,2,28,218
"2206","South","Cirsium vulgare",1973,1,29,261
"2310","South","Cirsium vulgare",1974,3,32,142
"2568","South","Cirsium vulgare",1976,2,34,158
"2638","South","Cirsium vulgare",1977,4,38,299
"2813","South","Cirsium vulgare",1978,2,40,125
"2878","South","Cirsium vulgare",1979,1,41,156
"2946","South","Cirsium vulgare",1980,1,42,150
"3177","South","Cirsium vulgare",1982,1,43,130
"3310","South","Cirsium vulgare",1984,2,45,131
"3356","South","Cirsium vulgare",1985,1,46,153
"3547","South","Cirsium vulgare",1987,1,47,171
"3684","South","Cirsium vulgare",1988,1,48,128
"4595","South","Cirsium vulgare",2003,1,49,56
"370","South","Clematis tibetana",1945,1,1,59
"825","South","Clematis tibetana",1956,2,3,94
"876","South","Clematis tibetana",1957,3,6,88
"952","South","Clematis tibetana",1958,1,7,191
"1187","South","Clematis tibetana",1962,1,8,124
"1365","South","Clematis tibetana",1964,2,10,104
"2390","South","Clematis tibetana",1975,1,11,253
"3127","South","Clematis tibetana",1982,1,12,130
"3474","South","Clematis tibetana",1986,3,15,114
"4529","South","Clematis tibetana",2002,1,16,37
"322","South","Clematis vitalba",1943,1,1,25
"344","South","Clematis vitalba",1944,1,2,34
"373","South","Clematis vitalba",1945,1,3,59
"615","South","Clematis vitalba",1952,1,4,63
"749","South","Clematis vitalba",1954,1,5,83
"807","South","Clematis vitalba",1955,1,6,64
"909","South","Clematis vitalba",1957,1,7,88
"917","South","Clematis vitalba",1958,1,8,191
"1097","South","Clematis vitalba",1960,1,9,43
"1199","South","Clematis vitalba",1962,1,10,124
"1362","South","Clematis vitalba",1964,1,11,104
"1521","South","Clematis vitalba",1966,1,12,101
"1611","South","Clematis vitalba",1967,1,13,85
"1649","South","Clematis vitalba",1968,1,14,139
"1925","South","Clematis vitalba",1970,1,15,283
"2204","South","Clematis vitalba",1973,1,16,261
"2302","South","Clematis vitalba",1974,2,18,142
"2564","South","Clematis vitalba",1976,2,20,158
"2737","South","Clematis vitalba",1977,6,26,299
"2996","South","Clematis vitalba",1980,2,28,150
"3113","South","Clematis vitalba",1981,1,29,158
"3171","South","Clematis vitalba",1982,1,30,130
"3239","South","Clematis vitalba",1983,1,31,76
"3403","South","Clematis vitalba",1985,9,40,153
"3485","South","Clematis vitalba",1986,5,45,114
"3557","South","Clematis vitalba",1987,2,47,171
"3644","South","Clematis vitalba",1988,1,48,128
"4104","South","Clematis vitalba",1994,1,49,158
"4165","South","Clematis vitalba",1995,1,50,48
"4190","South","Clematis vitalba",1996,1,51,78
"4453","South","Clematis vitalba",2000,1,52,72
"4531","South","Clematis vitalba",2002,1,53,37
"4616","South","Clematis vitalba",2004,1,54,39
"2577","South","Cobaea scandens",1976,1,1,158
"3387","South","Cobaea scandens",1985,2,3,153
"300","South","Collomia cavanillesii",1942,1,1,25
"481","South","Collomia cavanillesii",1949,1,2,59
"537","South","Collomia cavanillesii",1950,1,3,81
"890","South","Collomia cavanillesii",1957,3,6,88
"929","South","Collomia cavanillesii",1958,2,8,191
"1378","South","Collomia cavanillesii",1964,2,10,104
"1594","South","Collomia cavanillesii",1967,1,11,85
"1637","South","Collomia cavanillesii",1968,1,12,139
"1883","South","Collomia cavanillesii",1970,2,14,283
"2072","South","Collomia cavanillesii",1972,2,16,218
"3165","South","Collomia cavanillesii",1982,3,19,130
"3288","South","Collomia cavanillesii",1984,1,20,131
"3492","South","Collomia cavanillesii",1986,1,21,114
"3568","South","Collomia cavanillesii",1987,1,22,171
"4305","South","Collomia cavanillesii",1997,1,23,69
"4518","South","Collomia cavanillesii",2001,1,24,47
"4545","South","Collomia cavanillesii",2002,1,25,37
"4605","South","Collomia cavanillesii",2004,1,26,39
"1165","South","Conium maculatum",1961,1,1,134
"1584","South","Conium maculatum",1967,1,2,85
"1914","South","Conium maculatum",1970,2,4,283
"2421","South","Conium maculatum",1975,2,6,253
"2593","South","Conium maculatum",1976,1,7,158
"3012","South","Conium maculatum",1980,1,8,150
"3112","South","Conium maculatum",1981,1,9,158
"4045","South","Conium maculatum",1993,1,10,143
"4093","South","Conium maculatum",1994,1,11,158
"4448","South","Conium maculatum",2000,1,12,72
"867","South","Convolvulus arvensis",1957,1,1,88
"1241","South","Convolvulus arvensis",1962,2,3,124
"1508","South","Convolvulus arvensis",1966,2,5,101
"1627","South","Convolvulus arvensis",1967,1,6,85
"1767","South","Convolvulus arvensis",1969,1,7,136
"2025","South","Convolvulus arvensis",1971,1,8,182
"2081","South","Convolvulus arvensis",1972,1,9,218
"2157","South","Convolvulus arvensis",1973,1,10,261
"3201","South","Convolvulus arvensis",1982,1,11,130
"3230","South","Convolvulus arvensis",1983,1,12,76
"4071","South","Convolvulus arvensis",1994,2,14,158
"4168","South","Convolvulus arvensis",1995,1,15,48
"4426","South","Convolvulus arvensis",2000,1,16,72
"1294","South","Cortaderia selloana",1963,1,1,200
"1814","South","Cortaderia selloana",1970,1,2,283
"2628","South","Cortaderia selloana",1977,1,3,299
"3212","South","Cortaderia selloana",1983,1,4,76
"725","South","Cotoneaster franchetii",1954,1,1,83
"2478","South","Cotoneaster franchetii",1975,1,2,253
"3153","South","Cotoneaster franchetii",1982,1,3,130
"3435","South","Cotoneaster franchetii",1985,1,4,153
"3507","South","Cotoneaster franchetii",1986,2,6,114
"3562","South","Cotoneaster franchetii",1987,6,12,171
"3749","South","Cotoneaster franchetii",1989,1,13,92
"3836","South","Cotoneaster franchetii",1991,1,14,114
"4046","South","Cotoneaster franchetii",1993,2,16,143
"4235","South","Cotoneaster franchetii",1996,1,17,78
"4303","South","Cotoneaster franchetii",1997,3,20,69
"4324","South","Cotoneaster franchetii",1998,1,21,68
"4388","South","Cotoneaster franchetii",1999,1,22,78
"4517","South","Cotoneaster franchetii",2001,1,23,47
"4569","South","Cotoneaster franchetii",2003,1,24,56
"4610","South","Cotoneaster franchetii",2004,1,25,39
"4662","South","Cotoneaster franchetii",2006,1,26,20
"2408","South","Cotoneaster glaucophyllus",1975,1,1,253
"3352","South","Cotoneaster glaucophyllus",1985,2,3,153
"3512","South","Cotoneaster glaucophyllus",1986,2,5,114
"3575","South","Cotoneaster glaucophyllus",1987,3,8,171
"3736","South","Cotoneaster glaucophyllus",1989,1,9,92
"3818","South","Cotoneaster glaucophyllus",1990,1,10,80
"3883","South","Cotoneaster glaucophyllus",1991,1,11,114
"4160","South","Cotoneaster glaucophyllus",1995,1,12,48
"4222","South","Cotoneaster glaucophyllus",1996,1,13,78
"4296","South","Cotoneaster glaucophyllus",1997,3,16,69
"4336","South","Cotoneaster glaucophyllus",1998,1,17,68
"4424","South","Cotoneaster glaucophyllus",1999,1,18,78
"4525","South","Cotoneaster glaucophyllus",2001,1,19,47
"4581","South","Cotoneaster glaucophyllus",2003,1,20,56
"2819","South","Cotoneaster simonsii",1978,1,1,125
"2890","South","Cotoneaster simonsii",1979,1,2,156
"3291","South","Cotoneaster simonsii",1984,1,3,131
"3648","South","Cotoneaster simonsii",1988,1,4,128
"3710","South","Cotoneaster simonsii",1989,1,5,92
"3827","South","Cotoneaster simonsii",1991,1,6,114
"3986","South","Cotoneaster simonsii",1993,1,7,143
"4063","South","Cotoneaster simonsii",1994,2,9,158
"4198","South","Cotoneaster simonsii",1996,1,10,78
"4260","South","Cotoneaster simonsii",1997,3,13,69
"4382","South","Cotoneaster simonsii",1999,1,14,78
"4485","South","Cotoneaster simonsii",2001,1,15,47
"4648","South","Cotoneaster simonsii",2005,2,17,35
"3477","South","Crassula multicava",1986,2,2,114
"3596","South","Crassula multicava",1987,2,4,171
"4496","South","Crassula multicava",2001,1,5,47
"1333","South","Crataegus monogyna",1963,1,1,200
"1539","South","Crataegus monogyna",1966,1,2,101
"1846","South","Crataegus monogyna",1970,1,3,283
"2733","South","Crataegus monogyna",1977,1,4,299
"3077","South","Crataegus monogyna",1981,1,5,158
"3183","South","Crataegus monogyna",1982,2,7,130
"3319","South","Crataegus monogyna",1984,1,8,131
"3388","South","Crataegus monogyna",1985,1,9,153
"3574","South","Crataegus monogyna",1987,4,13,171
"4019","South","Crataegus monogyna",1993,1,14,143
"4207","South","Crataegus monogyna",1996,1,15,78
"4339","South","Crataegus monogyna",1998,1,16,68
"4400","South","Crataegus monogyna",1999,1,17,78
"4477","South","Crataegus monogyna",2000,1,18,72
"351","South","Crocosmia x crocosmiiflora",1944,2,2,34
"394","South","Crocosmia x crocosmiiflora",1945,3,5,59
"440","South","Crocosmia x crocosmiiflora",1947,1,6,43
"627","South","Crocosmia x crocosmiiflora",1952,2,8,63
"670","South","Crocosmia x crocosmiiflora",1953,6,14,129
"1191","South","Crocosmia x crocosmiiflora",1962,1,15,124
"1682","South","Crocosmia x crocosmiiflora",1968,2,17,139
"1796","South","Crocosmia x crocosmiiflora",1969,1,18,136
"2126","South","Crocosmia x crocosmiiflora",1972,3,21,218
"2189","South","Crocosmia x crocosmiiflora",1973,2,23,261
"2507","South","Crocosmia x crocosmiiflora",1976,3,26,158
"2622","South","Crocosmia x crocosmiiflora",1977,1,27,299
"3180","South","Crocosmia x crocosmiiflora",1982,1,28,130
"3368","South","Crocosmia x crocosmiiflora",1985,1,29,153
"4283","South","Crocosmia x crocosmiiflora",1997,1,30,69
"4436","South","Crocosmia x crocosmiiflora",2000,1,31,72
"234","South","Cynodon dactylon",1939,1,1,29
"425","South","Cynodon dactylon",1947,1,2,43
"787","South","Cynodon dactylon",1955,1,3,64
"869","South","Cynodon dactylon",1957,1,4,88
"968","South","Cynodon dactylon",1958,1,5,191
"1087","South","Cynodon dactylon",1960,1,6,43
"1160","South","Cynodon dactylon",1961,2,8,134
"1272","South","Cynodon dactylon",1963,2,10,200
"1534","South","Cynodon dactylon",1966,3,13,101
"1811","South","Cynodon dactylon",1969,2,15,136
"2084","South","Cynodon dactylon",1972,1,16,218
"2665","South","Cynodon dactylon",1977,3,19,299
"2967","South","Cynodon dactylon",1980,1,20,150
"3232","South","Cynodon dactylon",1983,1,21,76
"3418","South","Cynodon dactylon",1985,2,23,153
"3641","South","Cynodon dactylon",1988,1,24,128
"3798","South","Cynodon dactylon",1990,1,25,80
"4210","South","Cynodon dactylon",1996,1,26,78
"2375","South","Cyperus eragrostis",1975,1,1,253
"3270","South","Cyperus eragrostis",1984,1,2,131
"3363","South","Cyperus eragrostis",1985,2,4,153
